#,#
% of total,Жами %
(no name),(исмсиз)
Box Qty,Қутилар сони
Box Weight,Қути вазни
Box weight (kg),Қути оғирлиги (кг)
Boxes,Қутилар
boxes,қутилар
Boxes / kg,Қути / кг
boxes differ,қутилар фарқ қилади
Boxes per container,Контейнердаги қутилар
Boxes still due under the agreements,Келишувлар бўйича қолган қутилар
Boxes × box weight ≠ quantity,Қутилар × қути вазни ≠ миқдор
Branch,
Brand,Брэнд
Break minutes,
Broker,Брокер
BRV Multiplier,БҲМ кўпайтувчиси
BRV used,Ишлатилган БҲМ
BRV Used (UZS),Ишлатилган БҲМ (UZS)
BRV Value (UZS),БҲМ қиймати (UZS)
Budget,Бюджет
"Budget name, fiscal year…",
Budget vs Actual,
Budgets,
Business name,Бизнес номи
Business name is required.,Бизнес номи мажбурий.
Buy,Сотиб олиш
Buy markup,Сотиб олиш устамаси
Buy X get Y,X сотиб олинг Y получите
Buyer,Буюртмачи
Buyer / Customer,Харидор / Мижоз
Buyer / Organization,Харидор / Ташкилот
Buyer TIN,
Buying price list,Сотиб олиш нарх рўйхати
bx,қут.
By,
By carriers,Ташувчилар бўйича
By item,
By order,
By quantity,Миқдор бўйича
By region,Ҳудуд бўйича
By rep,Менежер бўйича
By supplier,Етказиб берувчи бўйича
By value,Қиймат бўйича
by weight,вазн бўйича
By weight,Оғирлик бўйича
C,
Calendar,Тақвим
Campaign,Кампания
Campaign Name,Кампания номи
Campaign ROI,Кампания ROI
Can contain subcategories,Қуйи турғунларни ўз ичига олиши мумкин
Cancel,Бекор қилиш
"Cancel all open (submitted, non-delivered) Stock Reservation Entries for this company. Reserved stock will be returned to available quantity.","Бу компания учун барча очиқ (тасдиқланган, етказилмаган) Сток браронирлаш ёзувларини бекор қилиш. Браронирир сток мавжуд миқдорига қайтарилади."
Cancel ALL open stock reservations for {0}? Reserved stock will be released.,{0} учун барча очиқ сток браронирининглари бекор қилинсинми? Браронирир сток қайтарилади.
Cancel and re-book,"Бекор қилиб, қайта китобга олиш"
Cancel bill {name}? This is reversible only by amendment.,{name} ҳисобини бекор қилинсинми? Бу фақат тўзатиш орқали алмаштириши мумкин.
Cancel BOM?,
Cancel booking,Бронни бекор қилиш
Cancel Document,
Cancel document?,
Cancel Entry,
Cancel entry,Ёзувни бекор қилиш
Cancel Expense Entry,
Cancel failed.,Бекор қилиш мувафаққиятсиз.
Cancel invoice {name}? This is reversible only by amendment.,{name} инвойсини бекор қилинсинми? Бу фақат тўзатиш орқали алмаштириши мумкин.
Cancel journal entry?,Проводкани бекор қиласизми?
Cancel or delete Sales Invoice {0} before cancelling this Sales Order.,Бу Сотув Ордерини бекор қилишдан олдин Сотув Инвойс {0} ни бекор қилинг ёки ўчирибўлинг.
Cancel payment,Тўловни бекор қилиш
Cancel Purchase Receipt,
Cancel purchase receipt {0}?,
Cancel quotation {name}?,Қўллаш сўров {name} бекор қилинсин?
Cancel Request,Сўровни бекор қилиш
Cancel reservations?,
Cancel sales order {name}? Stock reservations will be released.,Сотув буйруғи {name} бекор қилинсин? Махсулот қарзи рўй берилади.
Cancel stock entry?,
Cancel the linked Purchase Receipt {0} before cancelling this Truck Receipt.,Ушбу юк машинаси қабулини бекор қилишдан олдин боғланган {0} кирим ҳужжатини бекор қилинг.
Cancel this entry?,
Cancel this submitted BOM?,Бу тасдиқланган спецификацияни бекор қиласизми?
Cancel this transfer?,
Cancel Transfer,
Cancel {invoice} ({old}) and re-book at {new}.,"{invoice} ({old}) бекор қилиниб, {new} билан қайта китобга олинади."
Cancel {name}? This will reverse the stock movements.,{name} бекор қилинсин? Бу махсулот ҳаракатларини ортига қайтаради.
Cancelled,Бекор қилинган
Cancelled entries cannot be submitted; amend instead.,
Cannot change Commercial Invoice status from {0} to {1}.,Коммерция инвойси ҳолатини {0} дан {1} га ўзгартириб бўлмайди.
Cannot change {0} status from {1} to {2}.,{0} ҳолатини {1} дан {2} га ўзгартириб бўлмайди.
Cannot check out before checking in.,Кириш сўрови қабул қилинмасдан чиқиш сўрови қабул қилиб бўлмайди.
Cannot create a return against a return document.,
Cannot create invoice: no warehouse set for stock item(s) {0}.,Ҳисоб-фактура яратиб бўлмайди: {0} товар(лар) учун омбор кўрсатилмаган.
Cannot delete stage '{0}' — {1} Sales Order(s) are still in it. ,
Cannot delete {0}: it has {1} subcategories.,{0} ни ўчириб бўлмайди: унда {1} та қуйи турғун бор.
Cannot delete {0}: {1} items still use it.,{0} ни ўчириб бўлмайди: уни ҳали ҳам {1} та товар ишлатмоқда.
Cannot delete: {0} deal(s) are still in this status.,
Cannot detach quotation '{0}': it is part of an approved sourcing decision for this tender.,'{0}' таклифини ажратиб бўлмайди: у ушбу тендер учун тасдиқланган таъминот қарорининг бир қисмидир.
Cannot lock period — resolve the following blockers first: {0},
